,Epoch,Datetime,lidar_path,lidar_frame_deltas,Datetime_y,camera_path,camera_frame_deltas,fused_frame_deltas
29,1715225641214.598,2024-05-09 03:34:01.214597900,1715225641214598.pcd,100.265869140625,2024-05-09 03:34:01.158828125,_Color_1715225641158.82812500000000.png,66.714111328125,0.055769775
30,1715225641315.046,2024-05-09 03:34:01.315045898,1715225641315046.pcd,100.447998046875,2024-05-09 03:34:01.292256348,_Color_1715225641292.25634765625000.png,66.714111328125,0.02278955
31,1715225641415.51,2024-05-09 03:34:01.415510009,1715225641415510.pcd,100.464111328125,2024-05-09 03:34:01.358970215,_Color_1715225641358.97021484375000.png,66.7138671875,0.056539794
32,1715225641516.088,2024-05-09 03:34:01.516087891,1715225641516088.pcd,100.577880859375,2024-05-09 03:34:01.492397705,_Color_1715225641492.39770507812500.png,66.7138671875,0.023690186
33,1715225641616.415,2024-05-09 03:34:01.616415039,1715225641616415.pcd,100.3271484375,2024-05-09 03:34:01.559117920,_Color_1715225641559.11791992187500.png,66.72021484375,0.057297119
34,1715225641716.863,2024-05-09 03:34:01.716863037,1715225641716863.pcd,100.447998046875,2024-05-09 03:34:01.692556396,_Color_1715225641692.55639648437500.png,66.71923828125,0.024306641
35,1715225641817.304,2024-05-09 03:34:01.817303955,1715225641817304.pcd,100.44091796875,2024-05-09 03:34:01.759275635,_Color_1715225641759.27563476562500.png,66.71923828125,0.05802832
36,1715225641917.349,2024-05-09 03:34:01.917349121,1715225641917349.pcd,100.045166015625,2024-05-09 03:34:01.892714111,_Color_1715225641892.71411132812500.png,66.71923828125,0.02463501
37,1715225642017.668,2024-05-09 03:34:02.017667969,1715225642017668.pcd,100.31884765625,2024-05-09 03:34:01.959433594,_Color_1715225641959.43359375000000.png,66.719482421875,0.058234375
38,1715225642118.093,2024-05-09 03:34:02.118093018,1715225642118093.pcd,100.425048828125,2024-05-09 03:34:02.092873291,_Color_1715225642092.87329101562500.png,66.720458984375,0.025219727
39,1715225642219.053,2024-05-09 03:34:02.219052979,1715225642219053.pcd,100.9599609375,2024-05-09 03:34:02.159592529,_Color_1715225642159.59252929687500.png,66.71923828125,0.05946045
40,1715225642319.158,2024-05-09 03:34:02.319157959,1715225642319158.pcd,100.10498046875,2024-05-09 03:34:02.293031494,_Color_1715225642293.03149414062500.png,66.719482421875,0.026126465
41,1715225642420.126,2024-05-09 03:34:02.420125977,1715225642420126.pcd,100.968017578125,2024-05-09 03:34:02.359750977,_Color_1715225642359.75097656250000.png,66.719482421875,0.060375
42,1715225642520.193,2024-05-09 03:34:02.520193115,1715225642520193.pcd,100.067138671875,2024-05-09 03:34:02.493189697,_Color_1715225642493.18969726562500.png,66.719482421875,0.027003418
43,1715225642620.275,2024-05-09 03:34:02.620274902,1715225642620275.pcd,100.081787109375,2024-05-09 03:34:02.559911621,_Color_1715225642559.91162109375000.png,66.721923828125,0.060363281
44,1715225642720.823,2024-05-09 03:34:02.720822998,1715225642720823.pcd,100.548095703125,2024-05-09 03:34:02.693356201,_Color_1715225642693.35620117187500.png,66.721923828125,0.027466797
45,1715225642821.18,2024-05-09 03:34:02.821179932,1715225642821180.pcd,100.35693359375,2024-05-09 03:34:02.760078125,_Color_1715225642760.07812500000000.png,66.721923828125,0.061101807
46,1715225642921.575,2024-05-09 03:34:02.921574951,1715225642921575.pcd,100.39501953125,2024-05-09 03:34:02.893522217,_Color_1715225642893.52221679687500.png,66.72216796875,0.028052734
