,lidar_id,Timestart,Timeend,lidar_path,Datetime,Epoch,camera_path,Stream Type_Accel,F#_Accel,HW Timestamp (ms)_Accel,Host Timestamp(ms)_Accel,3DOF_x_Accel,3DOF_y_Accel,3DOF_z_Accel,Stream Type_Gyro,F#_Gyro,HW Timestamp (ms)_Gyro,Host Timestamp(ms)_Gyro,3DOF_x_Gyro,3DOF_y_Gyro,3DOF_z_Gyro
13,2445,2024-09-09 18:07:37.544316534,2024-09-09 18:07:37.644233469,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002445.pcd,2024-09-09 18:07:37.594275001,1725905257591.9272,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905257591.92724609375000.png,Accel,1577,48332644,1725905257593,0.118,9.248,2.952,Gyro,3107,48331433,1725905257592,-0.002,-0.001,0.001
14,2446,2024-09-09 18:07:37.644332004,2024-09-09 18:07:37.744223673,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002446.pcd,2024-09-09 18:07:37.694277838,1725905257691.9656,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905257691.96557617187500.png,Accel,1587,48431810,1725905257692,0.127,9.238,2.932,Gyro,3127,48431622,1725905257692,-0.003,0.002,-0.001
15,2447,2024-09-09 18:07:37.744325943,2024-09-09 18:07:37.844220275,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002447.pcd,2024-09-09 18:07:37.794273109,1725905257792.005,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905257792.00488281250000.png,Accel,1597,48530975,1725905257791,0.118,9.238,2.942,Gyro,3146,48526802,1725905257787,-0.002,0.004,0.002
16,2448,2024-09-09 18:07:37.844325665,2024-09-09 18:07:37.944196927,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002448.pcd,2024-09-09 18:07:37.894261296,1725905257892.043,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905257892.04296875000000.png,Accel,1607,48630125,1725905257890,0.127,9.228,2.932,Gyro,3166,48626992,1725905257887,-0.004,0.002,-0.002
17,2449,2024-09-09 18:07:37.944300916,2024-09-09 18:07:38.044179625,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002449.pcd,2024-09-09 18:07:37.994240270,1725905257992.0818,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905257992.08178710937500.png,Accel,1617,48729274,1725905257990,0.127,9.218,2.932,Gyro,3186,48727181,1725905257987,-0.007,0.001,-0.001
18,2450,2024-09-09 18:07:38.044277922,2024-09-09 18:07:38.144175615,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002450.pcd,2024-09-09 18:07:38.094226768,1725905258092.1196,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258092.11962890625000.png,Accel,1627,48828428,1725905258088,0.127,9.218,2.932,Gyro,3206,48827371,1725905258087,0.003,-0.002,-0.003
19,2451,2024-09-09 18:07:38.144268598,2024-09-09 18:07:38.244144944,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002451.pcd,2024-09-09 18:07:38.194206771,1725905258192.1582,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258192.15820312500000.png,Accel,1637,48927579,1725905258188,0.127,9.218,2.942,Gyro,3226,48927560,1725905258188,-0.004,0.002,0.001
20,2452,2024-09-09 18:07:38.244233770,2024-09-09 18:07:38.344113450,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002452.pcd,2024-09-09 18:07:38.294173610,1725905258292.1956,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258292.19555664062500.png,Accel,1647,49026734,1725905258287,0.127,9.248,2.932,Gyro,3245,49022740,1725905258283,0.001,0.002,0.001
21,2453,2024-09-09 18:07:38.344211128,2024-09-09 18:07:38.444078819,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002453.pcd,2024-09-09 18:07:38.394144973,1725905258392.234,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258392.23388671875000.png,Accel,1657,49125889,1725905258386,0.127,9.228,2.942,Gyro,3265,49122929,1725905258383,-0.006,0.003,0.001
22,2454,2024-09-09 18:07:38.444184936,2024-09-09 18:07:38.544055787,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002454.pcd,2024-09-09 18:07:38.494120361,1725905258492.271,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258492.27099609375000.png,Accel,1667,49225044,1725905258485,0.118,9.248,2.942,Gyro,3285,49223119,1725905258483,-0.001,0.002,-0.001
